grade,max,min,range,average,var,size
3,468.208191,80.706001,387.50219,136.6038352,9118.632139,276
3,325.291809,68.269203,257.022606,125.0622559,3824.407442,232
4,497.269257,78.567238,418.702019,155.2664694,12704.12113,251
3,385.270447,90.902176,294.368271,120.2208915,3266.430818,181
4,518.7099,72.64164,446.06826,160.6364947,18057.43162,259
2,339.151886,64.207916,274.94397,114.9147893,2172.389039,262
4,171.119522,53.67403,117.445492,99.28500452,321.3600224,242
4,307.93277,101.357643,206.575127,132.0884142,2580.110342,206
4,330.55426,68.241737,262.312523,152.0439906,6337.565565,319
2,328.827301,78.022827,250.804474,129.0301599,4416.217544,284
2,354.345795,73.527687,280.818108,119.9748984,4779.519727,239
4,532.42334,58.924343,473.498997,196.8782725,25934.91244,191
5,408.275787,53.258541,355.017246,132.6107582,7347.453326,288
2,522.927002,54.509968,468.417034,164.803326,18069.81397,238
5,157.71492,71.2005,86.51442,112.6248407,149.8057807,262
5,428.206635,99.362244,328.844391,144.3212654,7932.692676,194
5,221.480835,58.750446,162.730389,99.7415931,332.8409817,281
4,417.832306,92.413063,325.419243,116.6081816,2486.855158,278
2,361.875641,70.664261,291.21138,147.3299483,8540.857243,248
4,122.512451,54.280682,68.231769,99.63045735,295.0993455,272
2,469.49469,84.259323,385.235367,115.9126386,5574.809809,188
5,257.576813,59.138035,198.438778,105.3605078,545.5398684,249
4,183.646042,85.054367,98.591675,116.5517089,347.4423076,195
5,535.220154,81.452454,453.7677,129.5402095,6026.730441,272
1,518.76062,70.56398,448.19664,152.9161559,13117.88426,262
1,530.984436,88.2453,442.739136,140.6923689,7601.915601,262
4,438.373718,87.138367,351.235351,114.2539077,1901.514943,219
4,143.276688,59.697849,83.578839,102.4912551,149.9004248,256
5,439.037781,86.642303,352.395478,141.4945355,6562.289591,290
2,135.968857,86.958153,49.010704,94.64208335,91.55301664,181
3,411.876312,55.657124,356.219188,127.7047286,6677.071724,66
2,165.804138,55.660061,110.144077,88.97478042,765.1220737,111
1,215.761688,56.564556,159.197132,120.2817978,624.4426359,138
1,382.113251,55.476471,326.63678,115.1375607,2554.764052,222
4,213.59581,53.985954,159.609856,71.59548635,1770.365125,113
3,92.757309,62.606049,30.15126,82.07633019,91.01722124,27
2,225.890976,54.772297,171.118679,99.44617325,560.5037191,151
4,142.055008,59.48349,82.571518,105.3710496,822.5927292,60
2,230.227859,54.125553,176.102306,123.2414413,1098.365174,177
1,170.105148,53.732285,116.372863,107.0704667,375.1217626,145
4,467.597107,53.66338,413.933727,73.14645868,1508.705164,159
3,198.127213,57.858395,140.268818,90.64319715,844.2575431,85
2,247.358109,53.792576,193.565533,97.31992872,1246.657955,106
2,140.139297,63.970287,76.16901,113.0546452,381.4105044,69
1,185.544693,57.330982,128.213711,113.5145565,732.3503942,233
4,188.736557,59.817955,128.918602,105.3727113,1154.815775,85
4,352.067169,53.368111,298.699058,91.00258747,3611.355696,91
2,160.489014,53.416061,107.072953,100.3311569,714.0186807,218
4,387.898468,55.714775,332.183693,159.614742,8655.771469,44
